age,income,gender_male,education,race_Non-Hispanic Asian,race_Non-Hispanic Black,race_Non-Hispanic White,race_Other Hispanic,race_Other Race,marital_status_Never married,marital_status_Widowed/Divorced/Separated,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days,num_home_cook
0.5166666666666667,0.32599999999999996,1,0.5,0,1,0,0,0,0,0,0.19047619047619047,0.19047619047619047,0.0,0.0,0.6190476190476192
0.5833333333333334,1.0,0,1.0,0,1,0,0,0,0,0,0.09523809523809523,0.047619047619047616,0.0,0.0,0.8571428571428571
0.7,0.154,0,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
0.6833333333333333,0.738,0,1.0,0,1,0,0,0,0,0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.9047619047619047
0.6666666666666666,0.308,1,0.0,0,0,1,0,0,0,1,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571
0.6833333333333333,0.944,0,1.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
1.0,0.47400000000000003,1,0.5,0,0,1,0,0,0,0,0.09523809523809523,0.0,0.022222222222222223,0.0,0.8825396825396825
0.11666666666666667,0.162,1,0.25,0,0,1,0,0,0,0,0.2857142857142857,0.2857142857142857,0.0,0.3333333333333333,0.09523809523809514
0.4166666666666667,1.0,0,0.75,0,0,0,1,0,0,0,0.14285714285714285,0.09523809523809523,0.05555555555555555,0.0,0.7063492063492063
0.4,0.732,0,1.0,0,1,0,0,0,1,0,0.19047619047619047,0.14285714285714285,0.0,0.0,0.6666666666666666
0.7,0.092,1,0.5,0,0,0,0,1,0,0,0.23809523809523808,0.19047619047619047,0.08888888888888889,0.03333333333333333,0.4492063492063492
1.0,1.0,1,1.0,1,0,0,0,0,0,0,0.047619047619047616,0.0,0.0,0.0,0.9523809523809523
1.0,0.128,0,0.0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0
0.65,0.36,0,0.75,0,1,0,0,0,0,1,0.047619047619047616,0.047619047619047616,0.0,0.0,0.9047619047619047
0.0,0.08199999999999999,0,0.75,0,0,1,0,0,1,0,0.09523809523809523,0.0,0.0,0.0,0.9047619047619048
0.016666666666666666,0.21400000000000002,1,0.5,0,1,0,0,0,1,0,0.047619047619047616,0.047619047619047616,0.03333333333333333,0.022222222222222223,0.8492063492063491
0.08333333333333333,0.288,0,0.75,0,0,1,0,0,0,0,0.047619047619047616,0.047619047619047616,0.0,0.011111111111111112,0.8936507936507935
0.15,0.122,1,0.25,0,0,0,0,1,0,0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.047619047619047526
0.2833333333333333,0.686,1,1.0,0,1,0,0,0,0,0,0.19047619047619047,0.19047619047619047,0.0,0.0,0.6190476190476192
0.08333333333333333,0.057999999999999996,0,0.75,0,1,0,0,0,1,0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.9047619047619047
0.3333333333333333,1.0,1,0.75,0,0,1,0,0,0,0,0.2857142857142857,0.14285714285714285,0.0,0.022222222222222223,0.549206349206349
0.9333333333333333,1.0,1,1.0,0,0,1,0,0,0,0,0.2857142857142857,0.0,0.0,0.0,0.7142857142857142
0.2,0.532,1,0.75,1,0,0,0,0,1,0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.7142857142857142
0.16666666666666666,0.286,1,0.5,1,0,0,0,0,1,0,0.14285714285714285,0.14285714285714285,0.022222222222222223,0.0,0.6920634920634919
0.016666666666666666,1.0,1,0.75,0,0,1,0,0,1,0,0.19047619047619047,0.047619047619047616,0.022222222222222223,0.022222222222222223,0.7174603174603175
0.6666666666666666,0.294,1,0.5,0,0,1,0,0,0,0,0.0,0.0,0.0,0.011111111111111112,0.9888888888888889
0.23333333333333334,0.704,1,1.0,0,0,0,0,0,0,0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.9047619047619047
0.11666666666666667,1.0,0,0.75,0,0,1,0,0,0,0,0.2857142857142857,0.19047619047619047,0.0,0.011111111111111112,0.5126984126984127
0.16666666666666666,0.22200000000000003,1,0.75,0,1,0,0,0,1,0,0.09523809523809523,0.0,0.0,0.16666666666666666,0.7380952380952381
0.6666666666666666,0.27799999999999997,1,1.0,0,0,0,1,0,0,0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.9333333333333333
0.45,0.836,0,1.0,0,0,0,1,0,0,1,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.022222222222222223,0.5253968253968253
0.75,1.0,1,1.0,0,0,0,1,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
0.3333333333333333,0.32599999999999996,1,0.75,0,1,0,0,0,0,0,0.19047619047619047,0.09523809523809523,0.0,0.03333333333333333,0.680952380952381
0.5333333333333333,1.0,1,0.5,0,0,1,0,0,0,0,0.09523809523809523,0.0,0.011111111111111112,0.0,0.8936507936507937
0.5,1.0,1,0.75,0,0,1,0,0,0,0,0.47619047619047616,0.38095238095238093,0.0,0.0,0.1428571428571429
0.4666666666666667,0.20800000000000002,0,0.5,0,1,0,0,0,1,0,0.047619047619047616,0.047619047619047616,0.0,0.011111111111111112,0.8936507936507935
0.4166666666666667,1.0,1,1.0,0,0,0,0,0,0,0,0.38095238095238093,0.047619047619047616,0.022222222222222223,0.0,0.5492063492063493
0.15,0.476,0,0.75,0,0,0,0,0,0,0,0.09523809523809523,0.0,0.0,0.0,0.9047619047619048
0.85,1.0,1,0.5,0,0,1,0,0,0,1,0.14285714285714285,0.0,0.0,0.022222222222222223,0.8349206349206348
0.55,0.71,1,0.75,0,1,0,0,0,0,0,0.19047619047619047,0.047619047619047616,0.0,0.0,0.7619047619047619
0.6666666666666666,0.45199999999999996,0,0.75,0,1,0,0,0,0,1,0.0,0.0,0.0,0.044444444444444446,0.9555555555555556
0.31666666666666665,1.0,0,1.0,0,0,1,0,0,0,0,0.3333333333333333,0.09523809523809523,0.03333333333333333,0.1111111111111111,0.426984126984127
